E;Alameda de Osuna;40.457530;-3.587822;
E;El Capricho;40.453252;-3.594261;
E;Canillejas;40.464336;-3.635398;
E;Torre Arias;40.443583;-3.616992;
E;Suanzes;40.440870;-3.626960;
E;Ciudad Lineal;40.437951;-3.638033;
E;Pueblo Nuevo;40.435067;-3.644126;0-0-0-0-0-0-2-0-0-0-0-0
E;Quintana;40.433552;-3.647200;
E;El Carmen;40.431807;-3.657416;
E;Ventas;40.431039;-3.622574;0-3-0-0-0-0-0-0-0-0-0-0
E;Diego de León;40.434175;-3.673987;0-0-0-1-0-1-0-0-0-0-0-0
E;Núñez de Balboa;40.432792;-3.682525;0-0-0-0-0-0-0-0-4-0-0-0
E;Rubén Darío;40.433064;-3.689052;
E;Alonso Martínez;40.427897;-3.695846;0-0-0-1-0-0-0-0-0-5-0-0
E;Chueca;40.422582;-3.697644;
E;Gran Vía;40.419993;-3.702138;4-0-0-0-0-0-0-0-0-0-0-0
E;Callao;40.420203;-3.705917;0-0-2-0-0-0-0-0-0-0-0-0
E;Ópera;40.418114;-3.709510;0-3-0-0-0-0-0-0-0-0-0-0
E;La Latina;40.411351;-3.708290;
E;Puerta de Toledo;40.407321;-3.711173;
E;Acacias;40.403876;-3.706484;0-0-2-0-0-0-0-0-0-0-0-0
E;Pirámides;40.402454;-3.711300;
E;Marqués de Vadillo;40.397576;-3.716156;
E;Urgel;40.392957;-3.724586;
E;Oporto;40.388650;-3.731368;0-0-0-0-0-1-0-0-0-0-0-0
E;Vista Alegre;40.389087;-3.738939;
E;Carabanchel;40.387892;-3.744948;
E;Eugenia de Montijo;40.384644;-3.750760;
E;Aluche;40.385659;-3.760750;
E;Empalme;40.390870;-3.765790;
E;Campamento;40.394676;-3.768272;
E;Casa de Campo;40.403189;-3.761027;0-0-0-0-0-0-0-0-0-5-0-0
F;Laguna;40.399160;-3.744375;
F;Carpetana;40.392807;-3.740975;
F;Oporto;40.388650;-3.731368;0-0-0-0-1-0-0-0-0-0-0-0
F;Opañel;40.386944;-3.723218;
F;Plaza Elíptica;40.384656;-3.718579;0-0-0-0-0-0-0-0-0-0-5-0
F;Usera;40.387114;-3.706638;
F;Legazpi;40.391127;-3.695034;0-0-3-0-0-0-0-0-0-0-0-0
F;Arganzuela - Planetario;40.393252;-3.688055;
